name,state
NODE_0000000,"[0.02264147950794697, 0.02511188318964399, 0.041945353529121196, 0.018157930818236398, 0.04618981020632774, 0.020796762955284154, 0.021417670022585142, 0.01740950145389337, 0.017882910777612684, 0.017973763436326055, 0.01716872270620137, 0.01762549083290109, 0.017126072688577985, 0.022455864130368673, 0.017443317167652513, 0.053959298644281554, 0.019834417009496418, 0.017625490832901138, 0.017625490832901138, 0.021713542657468072, 0.25801932905432606, 0.01905272232490621, 0.019628050838945137, 0.01741512283678364, 0.03726546381710608, 0.017228831398302048, 0.01787975101337059, 0.01710978730606703, 0.017280630251490996, 0.08968357127044319, 0.01733196648853125]"
NC_063383.1,"[0.022680091620280653, 0.02514540713013105, 0.04198160103142937, 0.018194382131486147, 0.04621468500671276, 0.02083323545065703, 0.021451622783861257, 0.017442305328043455, 0.01791579978013292, 0.018009725528949045, 0.017202386948931076, 0.01766076537778739, 0.017157933995078152, 0.022491490784568965, 0.017468744484576606, 0.053979373407986066, 0.019872401181567755, 0.017660765377787456, 0.01766076537778746, 0.02174845188954707, 0.25704485425002166, 0.01909080490833449, 0.019648191897204993, 0.01744792188086393, 0.037272224257317556, 0.01726357651506758, 0.017913180849891523, 0.01714417221382058, 0.0173139043778864, 0.08972554054865547, 0.017363693683634305]"
NODE_0000001,"[0.005021159830882971, 0.006206672129090773, 0.011675340703085985, 0.0035136086862490794, 0.014381238297794228, 0.004412498995805161, 0.004868891544510155, 0.004042317546957258, 0.004441403659877496, 0.0035109285418743878, 0.003540582748018083, 0.003418390678776581, 0.004125368756377831, 0.005236606945236581, 0.004925407842911904, 0.017363596129969308, 0.004362554386993649, 0.0034183906787766233, 0.0034183906787766233, 0.0048953687205502356, 0.7893195754829248, 0.0038128429769138075, 0.008567312525458202, 0.004049203416625646, 0.03091818043742884, 0.0033034735360545128, 0.004307518157776142, 0.00330307112579763, 0.003802749494334771, 0.02750614697224569, 0.004331208371925325]"
hMpxV/China/SZ-CDC/Strain059,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
NODE_0000002,"[4.553295504944137e-92, 1.447548606833809e-88, 1.476029367890185e-66, 5.587092717023526e-99, 4.07073786668224e-58, 5.936766871320913e-92, 1.228986928013639e-92, 2.1564247935579903e-98, 2.2308860287163792e-98, 1.041734601178903e-98, 2.168296639596784e-98, 8.267295014568573e-99, 1.3562558677125058e-98, 2.2317084399478976e-92, 1.4820503275451372e-92, 1.1020118916348547e-47, 1.24401416226462e-92, 8.267295014578437e-99, 8.267295014569507e-99, 1.0151598890921847e-92, 1.0, 2.8261868077581935e-99, 3.2452675525421226e-83, 2.1589089805454027e-98, 1.8630234893506423e-93, 1.9287476845746346e-96, 8.365592528591855e-99, 2.1216934110985406e-96, 1.5936667863065354e-98, 4.302155532891376e-38, 3.209552794325631e-98]"
hMpxV/China/SZ-CDC/Strain189,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
